time,p
1.083995,9.128541
1.084995,9.127279
1.085995,9.126017
1.086995,9.124755
1.087995,9.123493
1.088995,9.122231
1.089995,9.12097
1.090995,9.119709
1.091995,9.118448
1.092995,9.117187
1.093995,9.115926
1.094995,9.114666
1.095995,9.113406
1.096995,9.112146
1.097995,9.110886
1.098995,9.109627
1.099995,9.108368
1.100995,9.107109
1.101995,9.10585
1.102996,9.104591
1.103996,9.103333
1.104996,9.102075
1.105996,9.100817
1.106996,9.099559
1.107996,9.098301
1.108996,9.097043
1.109996,9.095785
1.110996,9.094528
1.111996,9.093271
1.112996,9.092014
1.113996,9.090757
1.114996,9.0895
1.115996,9.088243
1.116996,9.086986
1.117996,9.08573
1.118996,9.084474
1.119996,9.083218
1.120996,9.081962
1.121996,9.080706
1.122996,9.079451
1.123996,9.078196
1.124997,9.076941
1.125997,9.075686
1.126997,9.074432
1.127997,9.073178
1.128997,9.071924
1.129997,9.07067
1.130997,9.069416
1.131997,9.068162
1.132997,9.066908
1.133997,9.065655
1.134997,9.064402
1.135997,9.063149
1.136997,9.061896
1.137997,9.060643
1.138997,9.059391
1.139997,9.058139
1.140997,9.056887
1.141997,9.055635
1.142997,9.054383
1.143997,9.053131
1.144997,9.051879
1.145998,9.050627
1.146998,9.049376
1.147998,9.048125
1.148998,9.046874
1.149998,9.045623
1.150998,9.044372
1.151998,9.043122
1.152998,9.041872
1.153998,9.040622
1.154998,9.039372
1.155998,9.038123
1.156998,9.036874
1.157998,9.035625
1.158998,9.034376
1.159998,9.033127
1.160998,9.031878
1.161998,9.030629
1.162998,9.02938
1.163998,9.028131
1.164998,9.026883
1.165998,9.025635
1.166999,9.024387
1.167999,9.023139
1.168999,9.021892
1.169999,9.020645
1.170999,9.019398
1.171999,9.018151
1.172999,9.016904
1.173999,9.015657
1.174999,9.014411
1.175999,9.013165
1.176999,9.011919
1.177999,9.010673
1.178999,9.009428
1.179999,9.008183
1.180999,9.006938
1.181999,9.005693
1.182999,9.004448
1.183999,9.003203
1.184999,9.001959
1.185999,9.000714
1.186999,8.99947
1.187999,8.998226
1.189,8.996982
1.19,8.995738
1.191,8.994495
1.192,8.993252
1.193,8.992009
1.194,8.990766
1.195,8.989523
1.196,8.98828
1.197,8.987037
1.198,8.985795
1.199,8.984553
1.2,8.983311
1.201,8.982069
1.202,8.980827
1.203,8.979585
1.204,8.978344
1.205,8.977103
1.206,8.975862
1.207,8.974621
1.208,8.97338
1.209,8.972139
1.210001,8.970899
1.211001,8.969659
1.212001,8.968419
1.213001,8.967179
1.214001,8.965939
1.215001,8.964699
1.216001,8.96346
1.217001,8.962221
1.218001,8.960982
1.219001,8.959743
1.220001,8.958504
1.221001,8.957265
1.222001,8.956027
1.223001,8.954789
1.224001,8.953551
1.225001,8.952313
1.226001,8.951075
1.227001,8.949838
1.228001,8.9486
1.229001,8.947363
1.230001,8.946126
1.231001,8.944889
1.232002,8.943652
1.233002,8.942415
1.234002,8.941179
1.235002,8.939943
1.236002,8.938707
1.237002,8.937471
1.238002,8.936235
1.239002,8.935
1.240002,8.933765
1.241002,8.93253
1.242002,8.931295
1.243002,8.93006
1.244002,8.928825
1.245002,8.92759
1.246002,8.926356
1.247002,8.925122
1.248002,8.923888
1.249002,8.922654
1.250002,8.92142
1.251002,8.920186
1.252002,8.918953
1.253003,8.91772
1.254003,8.916487
1.255003,8.915254
1.256003,8.914021
1.257003,8.912789
1.258003,8.911556
1.259003,8.910324
1.260003,8.909092
1.261003,8.90786
1.262003,8.906628
1.263003,8.905396
1.264003,8.904164
1.265003,8.902933
1.266003,8.901702
1.267003,8.900471
1.268003,8.89924
1.269003,8.898009
1.270003,8.896778
1.271003,8.895548
1.272003,8.894318
1.273003,8.893088
1.274004,8.891858
1.275004,8.890628
1.276004,8.889398
1.277004,8.888169
1.278004,8.88694
1.279004,8.885711
1.280004,8.884482
1.281004,8.883253
1.282004,8.882024
1.283004,8.880796
1.284004,8.879568
1.285004,8.87834
1.286004,8.877112
1.287004,8.875884
1.288004,8.874656
1.289004,8.873428
1.290004,8.872201
1.291004,8.870973
1.292004,8.869746
1.293004,8.868519
1.294004,8.867292
1.295004,8.866066
1.296005,8.864839
1.297005,8.863613
1.298005,8.862387
1.299005,8.861161
1.300005,8.859935
1.301005,8.85871
1.302005,8.857485
1.303005,8.85626
1.304005,8.855035
1.305005,8.85381
1.306005,8.852585
1.307005,8.85136
1.308005,8.850136
1.309005,8.848911
1.310005,8.847687
